Pterophanes cyanopterus
Ramphodon naevius
Ramphomicron dorsale
Ramphomicron microrhynchum
Rhodopis vesper
Sappho sparganura
Schistes geoffroyi
Selasphorus ardens
Selasphorus flammula
Selasphorus platycercus
Selasphorus rufus
Selasphorus sasin
Selasphorus scintilla
Sephanoides fernandensis
Sephanoides sephanoides
Stellula calliope
Stephanoxis lalandi
Sternoclyta cyanopectus
Taphrolesbia griseiventris
Taphrospilus hypostictus
Thalurania colombica
Thalurania fannyi
Thalurania furcata
Thalurania glaucopis
Thalurania ridgwayi
Thalurania watertonii
Thaumastura cora
Threnetes niger
Threnetes ruckeri
Tilmatura dupontii
Topaza pella
Topaza pyra
Trochilus polytmus
Trochilus scitulus
Urochroa bougueri
Urosticte benjamini
Burhinus bistriatus
Larus relictus
Numenius borealis
Numenius tenuirostris
Tringa guttifer
Balaeniceps rex
Ciconia boyciana
Ciconia nigra
Jabiru mycteria
Mycteria cinerea
Phoeniconaias minor
Phoenicoparrus andinus
Phoenicoparrus jamesi
Phoenicopterus chilensis
Phoenicopterus ruber
Eudocimus ruber
Geronticus calvus
Geronticus eremita
Nipponia nippon
Platalea leucorodia
Caloenas nicobarica
Ducula mindorensis
Gallicolumba luzonica
Goura cristata
Goura scheepmakeri
Goura victoria
Nesoenas mayeri
Aceros cassidix
Aceros corrugatus
Aceros leucocephalus
Aceros nipalensis
Aceros waldeni
Anorrhinus galeritus
Anorrhinus tickelli
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Berenicornis comatus
Buceros bicornis
Buceros hydrocorax
Buceros rhinoceros
Penelopides exarhatus
Penelopides panini
Rhinoplax vigil
Rhyticeros everetti
Rhyticeros narcondami
Rhyticeros plicatus
Rhyticeros subruficollis
Rhyticeros undulatus
Tauraco bannermani
Tauraco corythaix
Tauraco erythrolophus
Tauraco fischeri
Tauraco hartlaubi
Tauraco leucolophus
Tauraco leucotis
Tauraco livingstonii
Tauraco macrorhynchus
Tauraco persa
Tauraco porphyreolophus
Tauraco ruspolii
Tauraco schalowi
Tauraco schuettii
Accipiter albogularis
Accipiter badius
Accipiter bicolor
Accipiter brachyurus
Accipiter brevipes
Accipiter butleri
Accipiter castanilius
Accipiter cirrhocephalus
Accipiter collaris
Accipiter cooperii
Accipiter erythrauchen
Accipiter erythropus
Accipiter fasciatus
Accipiter francesii
Accipiter gentilis
Accipiter griseiceps
Accipiter gularis
Accipiter gundlachi
Accipiter haplochrous
Accipiter henicogrammus
